asin,product_title,product_price,product_original_price,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,has_variations,sales_volume_clean,has_discounts
B000050FZP,"at&amp;t 210 basic trimline corded phone, no ac power required, wall-mountable, white",15.95,18.86,4.2,19530,49,8.61,False,False,True,False,1K+ bought in past month,False,1000.0,True
B09R1RKWPM,"at&amp;t trimline 210 corded home phone, no ac power required, improved easy-wall-mount, lighted big button keypad, 13 speeddial keys, last number redial, mute, flash, volume control, beige",16.14,16.95,4.3,2962,3,9.65,False,False,True,False,1K+ bought in past month,False,1000.0,True
B0BNMD2NLP,"at&amp;t gl2101 dect 6.0 cordless home phone with call block, caller id, full-duplex handset speakerphone, 2&quot; white backlit display, lighted keypad (graphite &amp; black)",24.95,24.95,4.4,1293,3,14.85,False,False,True,False,300+ bought in past month,False,300.0,False
B0BBWDM8MC,"nokia g100 | verizon, t-mobile, at&amp;t | android 12 | unlocked smartphone | 3-day battery | us version | 4/128gb | 6.52-inch screen | 13mp triple camera | polar night",99.99,99.99,3.3,172,2,56.08,False,False,True,False,100+ bought in past month,False,100.0,False
B0D3LB85H2,"doogee s118 4g rugged smartphone unlocked,mtk g99 android 14 20gb+512gb waterproof cell phone, 6.58&quot; fhd+ 120hz,10800mah+ 33w,50mp rear+32mp front rugged phone, dual sim/otg/gps/nfc black",299.99,299.99,3.8,31,1,299.99,False,False,True,False,,True,,False
B0CRWKVZVP,"samsung galaxy a15 5g 128gb, 6.5&quot;, gsm unlocked, international model a156m/dsn (blue black)",159.99,159.99,4.1,89,6,127.7,False,False,True,False,500+ bought in past month,False,500.0,False
B0CN1Q2X3B,"samsung galaxy a25 5g a series cell phone, 128gb unlocked android smartphone, amoled display, advanced triple camera system, expandable storage, stereo speakers, us version, 2024, black",249.99,299.99,3.4,262,2,164.31,False,False,True,False,500+ bought in past month,False,500.0,True
B0CRWT7WF1,samsung galaxy a05 a055m 64gb dual-sim gsm unlocked android smartphone (latin america version) - black,98.0,118.97,4.0,115,14,95.97,False,False,True,False,500+ bought in past month,False,500.0,True
B07ZHPCJW3,oneplus 7t 8gb ram 128gb rom us model hd1905 factory unlocked 6.55 inch amoled 90hz display dual sim frosted silver us warranty,113.87,113.87,3.8,20,1,82.17,False,False,False,False,,False,,False
B07VCB7P1L,kyocera duraforce pro 2 with sapphire shield e6910 black - verizon (renewed),72.25,91.0,3.5,381,7,64.3,False,False,True,True,50+ bought in past month,False,50.0,True
B084KS5WYC,samsung galaxy a10e 32gb a102u gsm unlocked phone - black (renewed),69.07,77.0,3.9,3440,26,68.95,False,False,False,True,500+ bought in past month,False,500.0,True
B0CNL663BM,apple iphone 8 64gb unlocked - gray,120.0,139.0,4.1,269,10,89.99,False,False,False,False,1K+ bought in past month,False,1000.0,True
B08NFCZGJF,"samsung galaxy a01 sm-a015a 16gb 5.7” single-sim android smartphone (renewed) (black, gsm unlocked)",68.0,68.0,3.8,310,2,67.89,False,False,True,True,100+ bought in past month,False,100.0,False
B092499CS7,"at&amp;t cl82267 dect 6.0 2-handset cordless phone for home with answering machine, call blocking, caller id announcer, intercom and long range, black &amp; wood grain finish",46.49,65.95,4.3,7573,2,32.72,False,False,True,False,300+ bought in past month,False,300.0,True
B0D79Z15XR,samsung galaxy a15 5g + 4g lte (256gb + 8gb) unlocked (t-mobile mint tello &amp; global) sm-a156m/dsn dual sim warranty latin america 6.5&quot; 50mp triple + (15w wall charger) (blue/black 1 year latin),174.99,174.99,4.084294871794872,0,1,174.99,False,False,True,False,,False,,False
B0CF2PV74C,motorola moto g54 dual-sim 256gb rom + 8gb ram (only gsm | no cdma) factory unlocked 5g smartphone (midnight blue) - international version,154.98,177.0,4.4,1073,6,139.5,False,False,True,False,200+ bought in past month,False,200.0,True
B0CGTKM9WC,"google pixel 8 - unlocked android smartphone with advanced pixel camera, 24-hour battery, and powerful security - hazel - 128 gb",499.0,699.0,4.3,2391,5,475.0,False,False,True,True,400+ bought in past month,True,400.0,True
B0CXTBZWQH,"doogee n55 android 14 cell phone,9gb+128gb expandable 1tb android phone,6.56&quot; hd+ 90hz unlocked cell phone,5150mah battery,13mp+8mp,dual sim 4g phone,face unlock,otg/t-mobile",139.99,139.99,4.4,48,1,139.99,False,False,True,False,50+ bought in past month,False,50.0,False
